uniq sequences,number appears
不明智,58
反同恋,1
卑微,24
可怜,1
反感,88
非法,1
极端,79
涉黑涉暴,1
失败者,23
77%没有父亲,1
none,44
男同性恋,17
不值得,5
不喜欢,36
没用,4
烂摊子,1
少管,1
付出代价,18
不符合,5
审美,1
黑人,74
闹分裂,1
离开,1
极端女权主义,6
代价,8
鸡你太美 (suggesting ridicule),1
长得不好看 (suggesting someone is not good looking),1
不满,4
高强度,1
双重标准,4
反串,1
阴阳人,2
心胸不宽广的国内男性,1
道德标准和三观不合,1
亡,2
绝望,2
出手太早,1
处于优势地位,1
尾大不掉,1
废话,2
嘴炮,1
无孔不入,1
荒唐,2
强行,1
强权,1
地域歧视者,1
坏,5
崇拜黑种人,1
扯淡,1
逼良为娼,1
自甘堕落,1
单方面付出,6
急,2
竞争不过,1
轻浮,15
越南人,1
好国男表示,1
你谁啊,1
哈哈哈,1
攻击,8
退无可退,1
恰烂钱,1
没有自知之明,28
指责受害者,1
太让我感到不适,1
捅,2
看不起,3
不嫁给你,1
排着队求捅,1
狗狗,1
不适,46
突围,1
肥胖,8
生理不适,1
女权主义者,5
同性恋,12
攻击，一片，讨好黑人，一票否决,1
操控,1
国男,1
键盘侠,3
不租房子给外国人,1
翻车,1
打脸,1
不懂事,1
没有素质,1
孙吧,1
行为和外表不符,1
天理何在,1
黑人的崇拜者们,1
硬茬子,1
合理手段,1
瞎,2
付出一定代价,2
让我反感,2
tui,1
歧视,9
展现生理需求,1
不明智的行为,1
智商堪忧,1
整容一劳永逸,1
妈不认,1
约炮,1
长时间哪个男人受得了,1
拉黑,3
编故事,1
搞小号,1
吃不起,1
辟谣,1
纯粹,1
不好的印象,1
消失,8
恶心,3
不是一般的思想,1
禁止,2
赶到森林,1
小看,1
猴痘,1
自我感觉良好,1
厌恶,1
骗婚,4
炮友,1
笑死,1
讨好,17
依附,1
不劳而获,1
不太舒服,1
不伦不类,1
可怕,1
较胖,1
打扰,1
痛,1
牛逼,1
过分幻想,1
极端性别言论,2
黑种人,4
黄种人,1
光说不做,1
黑皮肤,3
黑,13
不太喜欢,2
极端女权主义者,15
崇拜黑人的崇洋族男孩,1
汉奸,2
伪军,1
慰安妇,1
牺牲,1
偷的图,1
视力有问题,1
不舒服,23
遗精,1
推到对立面,1
讨好黑人的人,1
排斥黑人目光,1
没爱情,1
美黑,1
妆化那么白,1
自我感觉过于良好,25
品质极差,1
强奸犯,1
异常,1
取向治疗,1
渣,1
犯罪,3
重男轻女,1
男尊女卑,1
生育价值,1
破防,5
文化水平差点,1
哑唤,1
黑人搞出去,1
不一定,1
不喜欢黑人 轻浮的女性,1
正常,1
钓不到同性恋,1
农村,1
聚集地,1
繁殖,1
不做太多思考,1
分裂,1
阴谋,1
圈套,1
问题,5
混血二代,1
炫耀,2
言语攻击,4
不同情,1
双标,3
指责,2
有问题,1
发泄,3
无用,1
地域黑,2
色情,1
指点,1
破了,1
没贞操,1
力气小,1
大部分跟男方姓,1
铁钎,1
缝,1
骂,13
外国人,3
混血儿,5
翻身做所谓人类,1
破坏,1
自我感觉过于良好的,5
变味,1
打到,1
极端言论,2
瞧不起,1
惩罚,4
心理是黑人的黄种人,1
死手,1
hiv,1
居然敢,1
后代混血儿,2
不是非常发达,1
后悔,1
小老婆,1
天灾,1
举报,3
不信,1
恶毒,1
优越感,3
