Sentence,Toxicity Level,Tone,Language,Implied Sentiment
Lindner steckt heute Abend schon seinen Kopf in den Arsch von Merkel widerlich FDP,High,Insulting and Aggressive,Vulgar and Offensive,Angry and Disrespectful
Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Dummgelaber der Pest (Merkel) und Cholera (Schulz) nicht mehr hören!,High,Angry,Aggressive and Insulting,Hostile
"So ein schäbiger Lump, lässt Kinder im Krieg allein und Fahnenflucht",High,Accusatory,Harsh and Judgmental,Angry
"ich glaube nicht, das die Mehrheit der Bevölkerung dumm ist oder kommen nur Dumme zu Ihren Auftritten ?",Low,Questioning,Cynical,Skeptical
Wer will ein Hering So Dumm wie die Göring,Low,Playful,Informal,Humorous
Und N24 geht mir auch aufs Arschloch heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!,Medium,Aggressive,Vulgar and disrespectful,Negative
Die Hetzer der ÖR Medien haben wieder Hochkonjunktur dieses ganze Schweinejournalisten Pack gehört entsorgt und dass schnellstmöglich. AFD,High,Aggressive,Derogatory and inflammatory,Hostile
Verdammt die Olle Merkel tritt wieder an !!!,High,Aggressive,Swearing and Disrespectful,Angry
Der Fettsack soll mal besser den Kopf zu machen.,Medium,Aggressive,Rude and Offensive,Negative
"RAUS MIT DIESEN IRREN AUS DEM BUNDESTAG, sollen ihre Konfettischwulenparaden woanders feiern, am besten in Türkei bei Özdingens !",High,Aggressive and Hateful,Discriminatory and Offensive,Angry and Intolerant
dieser Holtmann scheint ein Grüner-Bastard zu sein! #BerichtAusBerlin,High,Derogatory,Aggressive and Offensive,Hostile
"Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Dünnpfiff im Merkel-Propagandaschrott ???😜",Medium,Sarcastic,Informal,Negative
"Na die Alte fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮",High,Disrespectful and dehumanizing,Aggressive and derogatory,Contemptuous
auch heute wieder nur drittklassige #Laiendarsteller in einem extrem beschissenen #Tatort #ARD,Medium,Critical,Negative and derogatory,Disdainful
Grüne und FDP kriechen Merkel doch jetzt schon in den Arsch damit sie nur schnell an die Macht kommen CDU,High,Aggressive,Derogatory and Insulting,Hostile
Jetzt melden sich die Vasallen Merkels!,Medium,Critical,Blaming,Disdainful
"Nö, der sieht dumm aus. 😾",Low,Disapproving,Casual,Negative
warum lädt man eine derart strunzdumme Frau #Demirkan bei #Maischberger ein #ARD,High,Insulting and Disrespectful,Condescending and Judgmental,Contemptuous
