Sentence,Toxicity Level,Tone,Language,Implied Sentiment
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया,High,Derogatory,Offensive,Hateful
मैच फिनिश कर देना चाहिए    गांड पे हाथ रख कर बैठ नहीं जाना चाहिए ,High,Commanding,Vulgar and Offensive,Disrespectful
देख भड़वा कलूटे    इसपे तेरा मूत वाला मुह नही खुलेगा ,High,Insulting,Vulgar and Offensive,Negative
दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे,Medium,Forceful,Assertive,Intense
ममता_बनर्जी ने तड़ीपार_गैंडे शाह को औकात पे ला दिया,High,Insulting,Derogatory and Disrespectful,Contemptuous
देखिए आज की रिपोर्ट अमीश भड़वा से,Low,Neutral,Formal,Neutral
यही एक आखरी रास्ता हो सकता है बाकी सूअर की औलाद किसी की नहीं होगी |,Low,Neutral,Informative,Objective
चुप मादरचोद मेरी बाइक तुमने तोड़ी ,High,Aggressive,Abusive,Angry
अबे कुत्तों के पिल्लो जब बिहार में बच्चे मर रहे थे तो तुम सूआर  बन कर गू खा रहे थे?,High,Insulting,Aggressive and derogatory,Contemptuous
मोदी सूअर का पीला भी तो चुप है,Low,Casual,Informal,Neutral
अगर नुकसान नही है तो फिर तुम भड़वों की तरह रंडी रोना क्यों रो रहे हो ?,High,Confrontational and Insulting,Abusive,Hostile
मादरचोद दिल्ली सरकार की स्कूल की चर्चा करते हुए उस मुद्दे पर टिक नही पाया,High,Hostile,Derogatory and Offensive,Negative
मादरचोद उधर नेटवर्क का प्रॉब्लम है तो गांड मराने सिम कार्ड इश्यू करते हो उस एरिया में?,High,Derogatory and Insulting,Aggressive and Offensive,Hostile
साले की शक्ल ही सूअर जैसी लग रही है। जैसा काम वैसी शक्ल । ,Medium,Derogatory,Insulting and Demeaning,Contemptuous
समस्या तुम जैसे मादरचोद ढोंगी पुजारी है।,High,Insulting,Derogatory and Offensive,Contemptuous
रंडि के पैदाइस कुछ नहि बोलेगे ?,High,Disrespectful,Derogatory and Offensive,Negative
इस मधरजात को इतना मारो की दुबारा खुद की बहन को भी देखने मे इसके पसीने छुटे हरामी साला।,High,Aggressive,Abusive and Offensive,Angry
इन सालों की गांड पर लात मार के बाहर कर देना चाहिए मादरचोद रास्ता जाम किये बैठा है,High,Aggressive,Vulgar and Offensive,Angry
चला है लोडा एक्सपर्ट बनने...,Low,Casual,Informal,Neutral
