Sentence,Toxicity Level,Tone,Language,Implied Sentiment
尽管浪，谁接盘谁是狗，不得house,High,Aggressive,Insulting and Confrontational,Hostile
对邻国的复仇情节，让日本饮鸩止渴，甚至让默代表日本人，打破了日本保持民族纯洁性的最后一点自尊打破了印象中日本对于默严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理,High,Aggressive,Blaming and Condemning,Negative
重点是视频里还不是同一个默囧,Low,Neutral,Informative,Neutral
这种男的就活该被戴绿帽,Medium,Dismissive,Confrontational,Contemptuous
建议仙女结婚前，男性一定要把怀胎十月分娩和坐月子的痛苦都体验一遍，这十个月一定要由她们照顾男性，以此作为她们生育时被男性对待的标准。,Medium,Prescriptive,Assertive,Patronizing
我有个发现，大部分反对同性恋的人很少有支持吃狗肉的，可能它们觉得一边反对同性恋一边支持吃狗肉显得很分裂。可我不同，我觉得同性恋很恶心，但支持吃狗肉。,High,Judgmental,Critical and Insensitive,Discriminatory
只准异恋普信，不准同恋自大——二极管,Low,Direct,Formal,Neutral
到时候好看的妹妹一个不剩，剩下的全是重型坦克,Medium,Casual,Sarcastic,Negative
别尬黑，这是拳师日常化的高级妆,Low,Casual,Informative,Neutral
在非洲孤独寂寞呗，母猪赛貂蝉,Low,Casual,Informal,Neutral
普信女和拳畜是最下头的低等动物。,High,Derogatory,Insulting,Dehumanizing
你们基佬要人觉得你们基佬是有素质教养，你们基佬就应该阻止某个基佬让基佬们丢脸的事情否则就是同流合污,High,Accusatory,Derogatory and Insulting,Negative
仙女在世界第一女拳国享有犯罪豁免权，二等男人就别叽叽歪歪了。女拳国怎么可能有公平的法律。,High,Disdainful,Sarcastic and Condescending,Contemptuous
喷吧普遍男性反串带节奏，故意说一些反动的话让更多不知情的男生变成所谓男拳来无差别攻击全体女性,High,Aggressive,Derogatory and Offensive,Hateful
理中客就是女拳和舔狗扮的,Low,Casual,Casual and Playful,Neutral
选择器喽，那些找泥搁的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代??可惜就是有人爱接盘??,High,Contemptuous,Derogatory and Insulting,Disdainful
捧杀操作起来比较容易，顺着她说就完事了,Low,Casual,Informal,Neutral
你说得挺对，但也很废话。你看现在反嘿的哪个有权力？你有权力吗？现在就是真正有权力的还助邹为虐,Medium,Condescending,Critical and Questioning,Cynical
妖怪，恶心死了,Medium,Disgust,Insulting,Negative
要是我周围朋友出现个和默交往的直接拉黑不用再见了??毕竟我怕哪天把我也拉下水,Medium,Dismissive,Informal and Confrontational,Distrustful
？基佬对社会的贡献远不如一个长相不佳的直男工程师,Medium,Comparative,Critical,Negative
恶心到家了！,High,Disgust,Aggressive,Negative
前有慈禧的宁予蛮邦不予家奴，后有老猫的中国人没饭吃也得让越南，棒子，阿尔巴尼亚吃饱的友邦论，可谓上梁不正下梁歪，遗毒甚远,High,Derogatory,Offensive and Insulting,Contemptuous
女拳就这？,Low,Questioning,Casual,Curious
女拳真是典中典?,Low,Inquisitive,Casual,Neutral
