Sentence,Toxicity Level,Tone,Language,Implied Sentiment
pues hazme los deberes furcia barata,High,Aggressive,Vulgar and Offensive,Disrespectful
Conclusión: pura mierda de paranormal....,Medium,Disparaging,Vulgar and Disrespectful,Negative
Algunos pierden la cabeza por llegar a Paguitalandia.,Low,Neutral,Neutral,Neutral
"Si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mejor.",Medium,Negative,Accusatory,Critical
No se puede tener peor gusto diseñando camisetas pa una peña  Que verguenza maricon,High,Insulting,Derogatory,Disrespectful
Que analogía rebuscada y de mierda,Medium,Disdainful,Critical and Insulting,Negative
Periodismo de mierda justificando esto !,Medium,Aggressive,Vulgar,Negative
JAJAJAJAJJAJA que vas a eclipsar tú y el otro subnormal xd,High,Mocking,Insulting and Derogatory,Disrespectful
"Pero que lo haga el gobierno y saqué pasta, vamos gilipollas, que os podéis forrar",High,Aggressive,Confrontational and Offensive,Contemptuous
"Buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda.",Medium,Dismissive,Casual and Insulting,Negative
Esperando reacciones de los perroflautas de #podemos,Medium,Condescending,Sarcastic,Disrespectful
Paco llegado este punto nos da igual con tal de olvidarnos del PP y su estado fascista,Low,Dismissive,Casual,Dislike towards the PP
"Marhuenda, ese gilipollas que dice que es catalán solo cuando pretende dañar a todos los catalanes, llama...",High,Aggressive,Insulting and Confrontational,Hostile
"ESTA NOCHE, MANDA MI POLLA (un primo suyo)",Medium,Vulgar,Casual,Disrespectful
"Lo veo bien, deja cada uno varias pensiones pagadas y se va a su pais.",Low,Neutral,Formal,Neutral
"E si non eres un periodista decente deberías cambiar de profesión, subnormal.",High,Insulting,Confrontational,Derogatory
"Estás enfermo y no quieres ver. Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes.",Low,Dismissive,Neutral,Frustration
lo personal es político pero no por ello tienes ke ir a una manifa ke convocan sindicatos de mierda,Medium,Critical,Informal,Disdainful
"Vaya, nunca pensé oir decir eso a una mujer",Low,Surprised,Neutral,Neutral
Excepto si te lo envenenan con mierdas,Low,Neutral,Informal,Cautious
Este país se va a la mierda,Medium,Negative,Casual,Frustration/Discontent
"Los halagos y buenos modales siempre hacen bien, menos a los izquierdistas de la cultura del odio.",Medium,Critical,Assertive,Negative
Te das cuenta la panda de retrasados que se han puesto a soltar espumarajos?,Medium,Condescending,Insulting,Derogatory
La única solución es irse de este país de mierda.,Medium,Negative,Casual and Offensive,Frustration/Disgust
Sigue existiendo mucha basura en España que limpiar y no solo en lo politico.,Low,Neutral,Informative,Critical
Los centros de menores no tutelados son escuelas de delincuentes. ,Medium,Accusatory,Negative generalization,Negative
Esto para un pedazo de retrasado como tu:,High,Insulting,Derogatory,Contemptuous
"fijate, todo tiene su lado bueno, hasta el puto coronabicho",Medium,Casual,Vulgar,Negative
ModeloPodemos Ser comunistas y joder España  LaHoraAzulPP278,Medium,Aggressive,Political,Negative
el Partido Socialista de Andalucía son una banda de delincuentes y chorizos,High,Accusatory,Negative and Defamatory,Hostile
Los mejores los más preparados para cortar cabezas,Low,Neutral,Formal,Neutral
Y además te apellidas Castillo. Hay que ser un charnego retrasado encima..,High,Insulting,Condescending and Offensive,Derogatory
"Son los mejores. Paguita, alquiler y seguridad social ya. Rasistas",High,Aggressive,Colloquial,Hostile
La mitad catalana borrega independentista sigue creyéndose sus mentiras.,Medium,Critical,Controversial,Negative
pues mucho  no entiendo pq llamarlo asi cuando la palabra no es ofensiva  putos progres,Medium,Confrontational,Casual and derogatory,Aggressive
Este es el maricón de Aida?,High,Insulting,Derogatory,Offensive
gummy cuando te pones subnormal eres un tocacojones,Medium,Insulting,Casual and Informal,Disrespectful
y snk ultima temp pronto pd rachel puta zorra la traicion no se perdona,High,Aggressive,Vulgar and Offensive,Vengeful
"Lo que Cuba hace, como siempre, es propaganda mentirosa para que descerebrados como Nuñez repitan como loros.",High,Disparaging,Critical and Insulting,Contemptuous
Este wifi boliguayo de mierda,Medium,Insulting,Vulgar and Disrespectful,Contemptuous
"los Salesianos de San Francisco de Sales, Los Marianistas y los fascistas vecinos del San Cirano nos ablandaron en exceso.",Low,Neutral,Formal,Neutral
"Habla español, catalán de mierda 😋",Medium,Sarcastic,Insulting,Contemptuous
Por mucho que intentes ser del Madrid nunca dejaras de ser un sudaca xd,High,Dismissive,Insulting and Disrespectful,Derogatory
"Estaba tan bien durmiendo hasta q vino roco a despertarme, enano de mierda😒",High,Insulting,Casual and Informal,Angry
No creo que haya en el mundo alguien que me dé más asco y sea más subnormal que Dani Rovira.,High,Disparaging,Critical and Offensive,Negative
"Este cabron está peor que los 1,200 que están por llegar",Medium,Comparative,Informal,Negative
Esos comunistas nazis judeo musulmanes creyéndose los reyes de la física,High,"Racist, Discriminatory",Aggressive,Hateful
Tu también Matt Reeves y tus putas ideas pendejas,High,Aggressive,Offensive,Angry
"Que traigan otro cargamento, necesitamos más pagapensiones son una inversión de futuro.",Low,Neutral,Informative,Positive
para vos y todos los trolos panelistas putos de Fox,Medium,Derogatory,Insulting,Negative
Yo soy así puto moro,Medium,Derogatory,Offensive,Disrespectful
"Charnego mañana salgo para ir a trabajar,  cosa que tu no sabes lo que es...",Medium,Condescending,Critical,Superiority
"Y a mí qué me importa lo que tú notes, facha?",Medium,Defensive,Confrontational and Insulting,Contemptuous
"unos vecinos del primero son más rojos y perroflautas que la hostia, les he dejado 6 entradas en el buzón",Medium,Disparaging,Casual and Insulting,Negative
Pues puede trabajar de carnicero para pagar pensiones,Low,Neutral,Neutral,Neutral
"Un cargador escaso de argumentario, parece.",Low,Neutral,Formal,Neutral
A Emery se la devuelven por subnormal. PLANTEA A LA PROXIMA UN BUEN PARTIDO,Medium,Confrontational,Sarcastic and Insulting,Negative
O sea que ahora la mafia tiene viajes de ida y vuelta,Low,Neutral,Casual,Neutral
"A su vez que no es lo mismo ser cristiano que catolico , pero tu eres CATETA.",High,Condescending,Critical,Derogatory
el término correcto es seres humanos de color crema,Low,Neutral,Formal,Neutral
"Olé sus huevos morenos (los del periodista). Si hablas de expulsar del pais a alguien, porque omites la nacionalidad.",Medium,Defensive,Sarcastic,Aggressive
"#CeseDefinitivoCPCCS estos miserables su salida del CPCCS va hacer mas rápido q su puta nombramiento,",High,Aggressive,Vulgar and Offensive,Angry and Disrespectful
Ahora un nazi en RTVE #lahoraespinosadelosmonteros,High,Aggressive,Tense and Confrontational,Hostile
"muy ateos que sois pero bien que os gustaría ser dios, eh? malditos hipocritas",High,Accusatory and Dismissive,Sarcastic and Insulting,Derogatory
"Hostia, como la quimioterapia, nos hace daño, pero si aguantamos lo suficiente, podemos vencer al cáncer.",Low,Hopeful,Supportive,Positive
ESPAÑA CORRUPPCIÓN Derecha PP fascista franquista gobernando con 30% en España no entiende porqué Cataluña quiere Independencia y República.,High,Accusatory,Aggressive and Insulting,Hostile
"Pues a mi me recuerda tus diversas lesiones graves y me descojono, subnormal. Acabado.",High,Mocking,Insulting and Derogatory,Contemptuous
"Mientras tanto, la gente matandose a currar como cabrones para vivir en una puta colmena",High,Frustrated,Harsh and Vulgar,Angry
porque no tenéis a un subnormal por entrenador.,Medium,Critical,Offensive,Contemptuous
"Quién te querría besar a ti, mongolo.",High,Insulting,Derogatory,Derisive
"que asco de gente dios, que busquen el significado de hembrismo y de feminismo y luego hablan",Medium,Disgusted,Critical,Negative
"Los políticos lo toleran todo lo que no va contra ellos, baste fijarse en Iglesias, con su casoplón.",Low,Neutral,Informative,Critical
Aquí va una canción para todos y cada uno de los putos fascistas del PP… Fuck You de Lily Allen,High,Aggressive,Vulgar and Offensive,Angry
"Está viniendo lo mejor de cada casa para mejorar el país, sin duda alguna.",Low,Positive,Encouraging,Optimistic
Que cabron el que publicó la foto de los finalistas de master chef😡😂😂,Medium,Mocking,Casual,Negative
qué bonito es ver a fachas rabiar dios me ahogo,High,Mocking,Insulting,Hostile
Cuánto facha de mierda en una mención voy a vomitar,High,Disgust,Vulgar and Insulting,Hostile
Pero sois periodistas o idiotas? Aún estando en catalán pone Franquismo!,High,Confrontational,Insulting and Provocative,Hostile
hay que ser hp para robar un zumo en alta mar.,Medium,Casual,Casual with vulgar term,Negative
La última mamarrachada de EA es tremenda.,Low,Neutral,Informative,Criticism
"Es su cultura y hay que respetarla. Un abrazo desde Ronda, Málaga.",Low,Respectful,Polite,Positive
¿Van a seguir con el mismo tema de los comediantes mediocres?,Low,Questioning,Neutral,Inquisitive
no te sale bien el catalán prueba en francés... chupala hijo puta 😂😂😂,Medium,Sarcastic,Casual and Offensive,Derogatory
Antes me como un whopper que decir algo bueno del subnormal ese,Medium,Disparaging,Casual and Insulting,Negative
Daros prisa. La memoria histórica de Carmena cambiará el nombre por el de cualquier payaso podemita,Medium,Aggressive,Critical and Disrespectful,Negative
"Ya venís en manada a quejaros, anda a tomarte una mArandina.",Medium,Dismissive,Sarcastic and Condescending,Contemptuous
son sus costumbres y hay que respetarlas..,Low,Respectful,Neutral,Positive
"Mamona, tengan la mierda que tengan ellos, lo nuestro sigue siendo igual de lamentable",High,Dismissive,Confrontational and Insulting,Hostile
El dia que morais todos los fachas podre palmarla tranquilo ...,High,Hostile,Aggressive and Offensive,Contemptuous
No he leído a una sola mujer quejarse de twitt solo a los de siempre....los machirulos fachas ...que asquito,High,Dismissive,Confrontational,Contemptuous
"Aquí Piatti que no metía un puto gol y en el Español, lleva ya unos cuantos, mamón. ☹️",Medium,Confrontational,Vulgar and Aggressive,Angry
"Ahora pides asilo político HDP, ahora las escorias oficialistas pidiendo asilo que tal.",High,Confrontational and Insulting,Aggressive,Derogatory
