Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
a,1.0,a,1.0,a,1.0,informal,430.0
accusatory,140.0,abusive,3.0,accusation,1.0,negative,421.0
admonishing,3.0,accusative,7.0,accusatory,5.0,critical,307.0
advisory,9.0,accusatory,96.0,admiration,1.0,accusatory,241.0
aggressive,120.0,admiring,1.0,admonishing,1.0,aggressive,197.0
amused,1.0,admonishing,1.0,aggressive,20.0,derogatory,157.0
angry,3.0,adversarial,1.0,alarming,1.0,colloquial,136.0
assertive,25.0,advisory,1.0,anger,5.0,informative,116.0
authoritative,7.0,aggressive,57.0,angry,2.0,neutral,94.0
blaming,1.0,alarming,1.0,annoyance,5.0,dismissive,92.0
casual,15.0,antagonistic,1.0,assertive,1.0,sarcastic,91.0
"casual,",1.0,appreciative,2.0,authoritative,2.0,confrontational,89.0
cautionary,2.0,assertive,28.0,bad,1.0,hostile,88.0
challenging,8.0,authoritative,13.0,behavior,1.0,disrespectful,60.0
coercive,1.0,biased,8.0,belittling,1.0,conversational,56.0
colloquial,3.0,blunt,3.0,betrayal,1.0,assertive,54.0
commanding,17.0,bullying,1.0,bias,1.0,casual,53.0
commanding/aggressive,1.0,but,6.0,blame,2.0,disparaging,51.0
comparative,1.0,castigatory,1.0,blaming,1.0,disapproving,42.0
competitive,2.0,casual,35.0,boastful,1.0,judgmental,42.0
complaining,1.0,cautionary,6.0,calm,1.0,commanding,39.0
complimentary,1.0,challenging,5.0,casual,3.0,threatening,39.0
concerned,4.0,charged,2.0,cautionary,4.0,frustration,37.0
condescending,12.0,coercive,2.0,celebratory,1.0,questioning,31.0
confrontational,26.0,colloquial,133.0,challenging,7.0,directive,28.0
contemptuous,2.0,commanding,22.0,comparative,1.0,insulting,26.0
conversational,1.0,complaining,1.0,concerned,6.0,offensive,26.0
critical,122.0,concerned,2.0,condemnatory,2.0,authoritative,22.0
criticizing,2.0,condemnatory,1.0,condescending,3.0,challenging,20.0
curious,4.0,condescending,2.0,confrontational,4.0,provocative,19.0
cynical,2.0,confrontational,59.0,confused,1.0,direct,19.0
defensive,4.0,confronting,1.0,contemptuous,7.0,inquisitive,18.0
demanding,2.0,connotation,1.0,critical,64.0,mocking,18.0
demeaning,1.0,contemplative,1.0,criticism,1.0,slightly,18.0
derisive,1.0,conversational,55.0,criticizing,1.0,condescending,17.0
derogatory,72.0,critical,121.0,curiosity,6.0,disapproval,16.0
determined,1.0,defensive,1.0,curious,7.0,positive,14.0
direct,1.0,demanding,3.0,defeated,1.0,descriptive,12.0
directive,7.0,demeaning,5.0,defeatist,1.0,frustrated,12.0
disappointed,2.0,derisive,5.0,defensive,4.0,skeptical,12.0
disapproving,6.0,derogatory,76.0,defiant,1.0,concerned,12.0
discriminatory,1.0,"derogatory,",1.0,demanding,4.0,cautionary,12.0
disdainful,1.0,descriptive,12.0,demeaning,2.0,disappointment,11.0
dismissive,39.0,direct,18.0,derisive,3.0,harsh,11.0
disparaging,19.0,directive,21.0,derogatory,9.0,curious,11.0
disrespectful,21.0,disapproving,1.0,disappointed,4.0,expressive,10.0
disturbing,1.0,discriminative,1.0,disappointment,11.0,advisory,10.0
doubtful,1.0,discriminatory,1.0,disapproval,16.0,defensive,9.0
emotional,1.0,disdainful,1.0,disapproving,35.0,contemptuous,9.0
encouraging,1.0,dismissive,27.0,disciplinary,1.0,demanding,9.0
exclamatory,1.0,disparaging,19.0,discontent,5.0,derisive,9.0
expressive,1.0,disrespectful,23.0,disdain,3.0,rude,9.0
forceful,1.0,divisive,1.0,disdainful,4.0,imperative,8.0
formal,3.0,doubtful,1.0,disillusionment,1.0,demeaning,8.0
frustrated,6.0,elements,1.0,dismissive,26.0,urgent,8.0
harsh,3.0,emotional,6.0,disparaging,13.0,biased,8.0
hint,1.0,emotionally,1.0,displeasure,2.0,with,7.0
hostile,8.0,emotive,1.0,disrespect,1.0,accusative,7.0
impatient,1.0,emphatic,1.0,disrespectful,16.0,violent,7.0
imperative,2.0,encouraging,2.0,dissatisfaction,6.0,emotional,7.0
impolite,1.0,enthusiastic,1.0,distrust,1.0,doubtful,7.0
informal,100.0,evaluative,4.0,distrustful,1.0,opinionated,6.0
informative,7.0,explicit,1.0,dominant,1.0,or,6.0
inquiring,2.0,expressive,9.0,doubt,2.0,serious,6.0
inquisitive,10.0,factual,1.0,doubtful,5.0,curiosity,6.0
insulting,6.0,familiar,1.0,encouraging,2.0,but,6.0
interrogative,2.0,forceful,1.0,enthusiastic,1.0,disdainful,6.0
intimidating,1.0,frustrated,1.0,excited,1.0,warning,6.0
irritated,1.0,generalizing,1.0,exclusionary,1.0,dissatisfaction,6.0
judgmental,10.0,harmful,1.0,fearful,3.0,disappointed,6.0
matter-of-fact,1.0,harsh,8.0,forceful,1.0,admonishing,5.0
mocking,7.0,hostile,10.0,friendly,1.0,annoyance,5.0
negative,8.0,humorous,1.0,frustrated,5.0,angry,5.0
"negative,",1.0,hurtful,1.0,frustration,37.0,anger,5.0
