Tone,Tone appears,Language,Language appears,Implied Sentiment,Implied Sentiment appears,combine,combine appears
abrasive,1.0,a,4.0,"Harper,",1.0,negative,343.0
accusatory,85.0,abrasive,1.0,a,3.0,critical,323.0
adamant,1.0,academic,1.0,accusation,1.0,informative,253.0
admiring,2.0,accusative,1.0,accusatory,4.0,informal,236.0
admonishing,5.0,accusatory,66.0,action,1.0,neutral,176.0
advisory,8.0,accusing,1.0,admiration,2.0,accusatory,155.0
aggressive,73.0,admonishing,3.0,admiring,2.0,derogatory,118.0
agitated,1.0,advisory,4.0,admonishing,1.0,aggressive,111.0
alarming,1.0,aggression,1.0,adversarial,1.0,colloquial,106.0
ambiguous,1.0,aggressive,30.0,advisory,3.0,dismissive,101.0
angry,16.0,alarmist,1.0,affectionate,1.0,sarcastic,97.0
"angry,",1.0,ambiguous,2.0,aggressive,8.0,confrontational,96.0
apologetic,4.0,an,1.0,anger,7.0,hostile,95.0
appreciative,1.0,analytical,1.0,angry,9.0,assertive,66.0
assertive,26.0,angry,1.0,annoyance,5.0,frustrated,52.0
authoritative,1.0,antagonistic,1.0,annoyed,4.0,conversational,49.0
blaming,1.0,apologetic,1.0,antagonistic,5.0,casual,48.0
casual,17.0,appreciative,1.0,anxious,2.0,expressive,45.0
cautionary,3.0,argumentative,1.0,apologetic,3.0,frustration,44.0
celebratory,1.0,assertive,37.0,apology,1.0,judgmental,43.0
challenging,3.0,authoritative,3.0,appreciation,2.0,disapproving,40.0
cheerful,1.0,bias,1.0,appreciative,1.0,mocking,37.0
colloquial,1.0,biased,7.0,assertive,3.0,emotional,32.0
commanding,3.0,blaming,1.0,authoritative,2.0,positive,29.0
comparative,1.0,blunt,1.0,betrayal,1.0,directive,28.0
complaining,1.0,boastful,1.0,blame,2.0,offensive,27.0
concerned,6.0,body-shaming,1.0,blaming,1.0,angry,26.0
condemnatory,1.0,bullying,1.0,body-shaming,1.0,condescending,25.0
condescending,14.0,but,5.0,but,1.0,disparaging,23.0
conditional,1.0,casual,19.0,casual,12.0,questioning,22.0
confident,1.0,cautionary,6.0,caution,1.0,skeptical,21.0
confrontational,22.0,cautious,1.0,cautious,1.0,direct,21.0
confused,1.0,challenging,3.0,celebratory,1.0,provocative,20.0
conspiratorial,1.0,charged,1.0,challenging,7.0,inquisitive,20.0
contemptuous,1.0,coercive,1.0,compared,1.0,descriptive,20.0
conversational,4.0,colloquial,105.0,competitive,1.0,disapproval,18.0
critical,114.0,"colloquial,",2.0,complaint,1.0,disrespectful,18.0
critical/disparaging,1.0,combative,1.0,concern,3.0,formal,18.0
criticizing,2.0,commanding,12.0,concerned,8.0,slightly,17.0
curious,2.0,comparative,2.0,condescending,6.0,insulting,17.0
